#th(º)				ph(º)			Eth(V/m)		Eth(º)		Eph(V/m)		Eph(º)
-1.790000000000000000e+02 -4.200000000000000000e+01 1.182279066470902855e-06 -1.649145800000000008e+02 1.344912406908217879e-06 1.345866599999999949e+02
-1.790000000000000000e+02 -3.900000000000000000e+01 1.149723742762834189e-06 -1.618837499999999920e+02 1.372184470648525864e-06 1.367524899999999946e+02
-1.790000000000000000e+02 -3.600000000000000000e+01 1.117598988393301575e-06 -1.586947800000000086e+02 1.397701721263658458e-06 1.388372400000000084e+02
-1.790000000000000000e+02 -3.300000000000000000e+01 1.086258030186131137e-06 -1.553357900000000029e+02 1.421328616343388101e-06 1.408504599999999982e+02
-1.790000000000000000e+02 -3.000000000000000000e+01 1.056031809271741098e-06 -1.517971799999999973e+02 1.442949061343489405e-06 1.428002400000000023e+02
-1.790000000000000000e+02 -2.700000000000000000e+01 1.027338349050905813e-06 -1.480724299999999971e+02 1.462456644512579907e-06 1.446940500000000043e+02
-1.790000000000000000e+02 -2.400000000000000000e+01 1.000563140559377927e-06 -1.441571399999999983e+02 1.479747108460679187e-06 1.465391500000000065e+02
-1.790000000000000000e+02 -2.100000000000000000e+01 9.761172776060467307e-07 -1.400516499999999951e+02 1.494751507187081019e-06 1.483423400000000072e+02
-1.790000000000000000e+02 -1.800000000000000000e+01 9.543902632828851413e-07 -1.357627300000000048e+02 1.507398226585507166e-06 1.501099399999999946e+02
-1.790000000000000000e+02 -1.500000000000000000e+01 9.357729778658413341e-07 -1.313034700000000043e+02 1.517635580847050507e-06 1.518475899999999967e+02
-1.790000000000000000e+02 -1.200000000000000000e+01 9.206371589571231209e-07 -1.266941400000000044e+02 1.525402662188620006e-06 1.535615300000000047e+02
-1.790000000000000000e+02 -9.000000000000000000e+00 9.092493515484111581e-07 -1.219628000000000014e+02 1.530692661165159958e-06 1.552572700000000054e+02
-1.790000000000000000e+02 -6.000000000000000000e+00 9.018784297136179445e-07 -1.171446600000000018e+02 1.533446045926940616e-06 1.569396700000000067e+02
-1.790000000000000000e+02 -3.000000000000000000e+00 8.986777721375755303e-07 -1.122815300000000036e+02 1.533680868090104061e-06 1.586153500000000065e+02
-1.790000000000000000e+02 -1.272221899999999966e-14 8.996933283647281323e-07 -1.074163300000000021e+02 1.531376576626909637e-06 1.602893699999999910e+02
-1.790000000000000000e+02 3.000000000000000000e+00 9.048821056965091571e-07 -1.025952699999999993e+02 1.526549881990236056e-06 1.619666899999999998e+02
-1.790000000000000000e+02 6.000000000000000000e+00 9.141258704986256321e-07 -9.785883900000000324e+01 1.519212412212467969e-06 1.636543599999999969e+02
-1.790000000000000000e+02 9.000000000000000000e+00 9.271958945818948255e-07 -9.324655099999999663e+01 1.509404011955387249e-06 1.653573800000000062e+02
-1.790000000000000000e+02 1.200000000000000000e+01 9.438065782231511541e-07 -8.878783400000000370e+01 1.497167875663071234e-06 1.670821699999999908e+02
-1.790000000000000000e+02 1.500000000000000000e+01 9.635771661742293235e-07 -8.450688999999999851e+01 1.482557342342207083e-06 1.688357200000000091e+02
-1.790000000000000000e+02 1.800000000000000000e+01 9.861455061781133234e-07 -8.041873699999999303e+01 1.465638956600716466e-06 1.706247199999999964e+02
-1.790000000000000000e+02 2.100000000000000000e+01 1.011090430469340911e-06 -7.653195200000000398e+01 1.446498541212091905e-06 1.724570799999999906e+02
